id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1349,4200563006,Porta de Aluminio,PORTA ALUM PERFIL FINO SEM PUX E ESPELHO PRATA,0,,2025-02-06,2025-02-21,2,VALTER,2025-02-21,1028x424
1350,4200563007,Porta de Aluminio,PORTA ALUM PERFIL FINO SEM PUX E ESPELHO PRATA,0,,2025-02-06,2025-02-21,2,VALTER,2025-02-21,1028x374
1351,4200566102,Porta de Aluminio,PORTA ALUM C PUX 098 E ESPELHO PRATA,0,,,,2,VALTER,2025-02-07,
1352,4200566102,Acessorios Avulsos,CHAVE GAVETA,0,,,,2,ESTOQUE,2025-02-21,
1353,4200566103,Porta de Aluminio,PORTA REFLECTA PRATA C/ PUX E PERFIL ALUM FINO,0,,,,4,VALTER,2025-02-07,
1354,4210256101,Acessorios Avulsos,Kit Gaveta Baixa + Corrediça Quadro V6 Extração Total com Amortecimento - CINZA - 0 038 616,0,,2025-02-10,2025-02-25,4,BIGFER,2025-02-28,
1355,4210256101,Acessorios Avulsos,Kit Gaveta Alta + Corrediça Quadro V6 Extração Total com Amortecimento - CINZA - 0 038 619,0,,2025-02-10,2025-02-25,2,BIGFER,2025-02-28,
1356,4210256101,Acessorios Avulsos,DIVISOR DE TALHER HATTICH DE ABS - CINZA - 441mm - 520mm - CÓD. 9 194 939,0,,2025-02-10,2025-02-25,2,BIGFER,2025-02-18,
1357,4210256101,Acessorios Avulsos,PORTA TEMPERO HETTICH - 0044834,0,,,,1,ESTOQUE,2025-01-27,
1358,4210256101,Acessorios Avulsos,PORTA FACAS HETTICH - 0074830,0,,2025-02-10,2025-02-25,1,BIGFER,2025-02-18,
1359,4210256101,Porta de Aluminio,PORTA VIDRO REFLECTA PRATA PUX E PERFIL FINO ALUM 2209 X 577,0,,,,2,VALTER,2025-02-28,2209 X 577
1360,4210256101,Acessorios Avulsos,PE DE LUMINIO TUBULAR PARA MESA 100MM - 770MM ALTURA,2,950.0,2025-02-06,2025-02-19,1,MERCADO LIVRE,2025-03-26,
1361,4210256103,Acessorios Avulsos,FECHO ROLETE SEM CHAVE,0,,,,1,ESTOQUE,2025-01-03,
1362,4210256103,Acessorios Avulsos,FECHO ROLETE COM CHAVE,0,,,,2,ESCRITÓRIO,2025-03-03,
1363,4210256105,Porta de Aluminio,PORTA VIDRO ESPELHO PRATA PERF ALUM FINO E PUX 098,0,,,,1,VALTER,2025-03-21,
1364,4210256105,Acessorios Avulsos,FECHADURA BICO DE PAPAGAIO COM PUXADOR 1422 PRETO FOSCO,0,,2025-01-03,2025-01-07,1,FLORESTA,2025-01-07,
1365,4210256106,Porta de Aluminio,PORTA DESL ( RO 30) ESPELHO PELICULA DESEMBAÇADORA PX 098 PRATA 1090 X 800MM,0,,2025-02-22,2025-03-09,1,VALTER,2025-05-08,1090 X 800MM
1366,4210256107,Vidro / Espelho,TAMPO DE VIDRO INCOLOR 6MM,0,,2025-03-06,2025-03-21,1,VALTER,2025-03-21,
1367,4210256107,Tapeçaria,CABECEIRA ESTOFADA EM GOMOS DE 150MM - TECIDO 80317-06 (SINTETICO),0,,2025-05-08,2025-05-30,1,RD TAPEÇARIA,2025-05-30,
1368,4210256107,Serralheria,TUBO EM METALON COR BRONZE -2055MTS,0,,2025-01-07,2025-02-07,1,METAL ITALO,2025-02-07,
