id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1,4220674211,Acessorios Avulsos,FECHO ROLETE C/ CHAVE EM 1 LADO (PORTA CLOSET),10,950.0,2022-12-20,2022-12-23,1,MERCADO LIVRE,2022-12-21,
2,4220674211,Acessorios Avulsos,FECHO ROLETE C/ CHAVE EM 1 LADO (PORTA BANHEIRO),10,950.0,2022-12-20,2022-12-23,1,MERCADO LIVRE,2022-12-21,
3,4220674204,Acessorios Avulsos,PUXADOR CONCHA COLONIAL COBRE ENVELHECIDO,10,950.0,2023-01-02,2023-01-06,24,MERCADO LIVRE,2023-01-05,
4,4220674206,Acessorios Avulsos,PUXADOR CONCHA COLONIAL COBRE ENVELHECIDO,10,950.0,2023-01-02,2023-01-06,10,MERCADO LIVRE,2023-01-05,
5,4210199201,Acessorios Avulsos,PUXADOR ORUY COURO NUDE COM METAL ROSÉ GOLD,6,950.0,2023-01-02,2023-01-06,9,MERCADO LIVRE,2023-01-05,
6,4220674201,,FECHO ROLETE COM CHAVE,6,950.0,2022-12-20,2022-12-21,1,MERCADO LIVRE,2022-12-21,
7,4220674201,Acessorios Avulsos,DOBRADICA INVISIVEL 3D,0,,2023-01-06,2023-01-12,3,CARPBRASIL,2023-01-12,
8,4220674204,Acessorios Avulsos,DOBRADICA INVISIVEL 3D,0,,2023-01-06,2023-01-12,3,CARPBRASIL,2023-01-12,
9,4220674204,Acessorios Avulsos,FECHO ROLETE SEM CHAVE,6,950.0,2022-12-26,2022-12-27,2,MERCADO LIVRE,2022-12-27,
10,4210199401,Serralheria,ESTRUTURA METALON TUBULAR NA COR DOURADO,0,,2023-01-02,2023-02-02,2,METAL ÍTALO,2023-01-13,
11,4220674201,Acessorios Avulsos,FECHO ROLETE SEM CHAVE,0,,,,1,ESCRITORIO,2022-12-21,
12,4210199802,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALYLINE IL280 - 128MM,3,626.0,2023-01-16,2023-01-27,4,Formato puxadores,2023-01-23,
13,4210199804,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALYLINE IL280 - 128MM,3,626.0,2023-01-16,2023-01-27,4,Formato puxadores,2023-01-23,
14,4210199804,Acessorios Avulsos,"FITA LED 3000K - 12V + BOTAO LIG/DESL.+ FONTE - 1,7MTS",3,626.0,2023-01-16,2023-01-24,1,Iluminin,2023-01-26,
15,4210195201,Paineis,PAINEL,0,,2022-12-06,2022-12-12,0,METAL ITALO,2022-12-20,
16,4210199805,Acessorios Avulsos,PUXADOR FACETATO RM183 ROMETAL - NATURAL,3,626.0,2023-01-16,2023-01-20,2,Valter,2023-01-17,
17,4210199805,Acessorios Avulsos,PONTEIRA PE183 - S7018 ACETINADO CROMO,0,,2023-01-16,2023-01-20,6,VALTER,2023-01-17,
18,4210199806,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALYLINE IL280 - 128MM,3,626.0,2023-01-16,2023-01-27,2,Formato puxadores,2023-01-23,
19,4210199806,Porta de Aluminio,PORTA - ESPELHO PRATA C/ PERFIL ALUMINIO PRATA OCULTO - S/ PUXADOR,0,,,,4,VALTER,2023-02-06,
20,4210199807,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALYLINE IL280 - 128MM,3,626.0,2023-01-16,2023-01-27,2,Formato puxadores,2023-01-23,
21,4210199807,Porta de Aluminio,PORTA - ESPELHO PRATA C/ PERFIL ALUMINIO PRATA OCULTO S/ PUXADOR,0,,,,4,VALTER,2023-02-06,
22,4210199809,Acessorios Avulsos,PUXADOR FACETATO RM183 ROMETAL - NATURAL,3,626.0,2023-01-16,2023-01-20,2,Valter,2023-01-17,
23,4210199809,Acessorios Avulsos,PONTEIRA PE183 - S7018 ACETINADO CROMO,0,,2023-01-16,2023-01-20,6,Valter,2023-01-17,
24,4210199810,Acessorios Avulsos,PUXADOR FACETATO RM183 ROMETAL - NATURAL,3,626.0,2023-01-16,2023-01-20,4,Valter,2023-01-17,
25,4210199810,Acessorios Avulsos,PONTEIRA PE183 - S7018 ACETINADO CROMO,0,,2023-01-16,,14,Valter,2023-01-17,
26,4200425101,Porta de Aluminio,PORTA ESPEHO C/ PERFIL FINO E PUX. FINO PRATA,0,,,,2,VALTER,2023-02-03,
27,4200425102,Porta de Aluminio,PORTA ESPELHO C/ PERFIL FINO E PUX 098 PRATA,0,,,,1,VALTER,2023-01-25,
28,4200425103,Porta de Aluminio,PORTA DESLIZANTE ESPELHO PRATA C/ PERFIL FINO E PUX 098 PRATA,0,,,,1,VALTER,2023-02-03,
29,4210196101,Acessorios Avulsos,PUX. CONCHA COLONIAL PRETO,0,,2023-01-16,2023-01-20,17,Valter,2023-01-17,
30,4210196101,Vidro / Espelho,PRAT. VIDRO INCOLOR 8MM - 389x540,0,,2023-01-27,2023-02-07,2,GARANTE,2023-02-06,
31,4200484701,Porta de Aluminio,PORTA DE GIRO REFLECTA PRATA C/ PERFIL FINO E PUX 098 PRETO,0,,2023-01-16,2023-02-28,4,VALTER,2023-03-01,
32,4210193105,Porta de Aluminio,PORTA ESPELHO PRATA,0,,,,1,VALTER,2023-02-06,
33,4210193108,Acessorios Avulsos,FECHO ROLETE COM CHAVE 2 LADOS,0,,2023-01-17,2023-01-19,1,MERCADO LIVRE,2023-01-19,
34,4200481701,Porta de Aluminio,PORTA DE GIRO REFLECTA BRONZE C/ PERFIL FINO E PUX PRATA FINO,0,,,,1,VALTER,2023-02-06,
35,4210194004,Porta de Aluminio,PORTA RELECTA PRATA C/ PELICULA C/ PERFIL FINO E PUX 098 ALUMINIO PRATA,0,,,,2,VALTER,2023-02-06,
36,4210194004,Serralheria,ARCO EM METALON P/ PRATELEIRA,0,,2023-01-13,2023-02-13,2,METAL ÍTALO,2023-02-22,
37,4200487002,Porta de Aluminio,ESPELHO PRATA,0,,,,2,GARANTE,2023-02-22,
38,4200487003,Vidro / Espelho,ESPELHO PRATA,0,,,,2,GARANTE,2023-02-22,
39,4200484001,Porta de Aluminio,PORTA DE GIRO REFLECTA PRATA COM PERFIL ALUM. PRETO E PUX. GOLA ALUM. PRETO,0,,,,1,VALTER,2023-02-22,
40,4210198001,Acessorios Avulsos,FACETATO SUPRA NATURAL CROMO ACETINADO - (3MTS),0,,2023-02-02,2023-02-03,9,VALTER,2023-02-03,
41,4210198001,Acessorios Avulsos,PONTEIRA PE 183 SUPRA NATURAL CROMO ACETINADO,0,,2023-02-02,2023-02-03,60,VALTER,2023-02-03,
42,4210198002,Vidro / Espelho,ESPELHO PRATA,0,,,,1,GARANTE,2023-02-06,
43,4210202001,Acessorios Avulsos,FACETATO RICHI MATT,0,,,,2,VALTER,2023-03-20,
44,4210202001,Acessorios Avulsos,PONTEIRA PE-183 CHAMPAGNE 1001,0,,,,8,VALTER,2023-03-20,
45,4210202002,Acessorios Avulsos,PONTEIRA PE-183 CHAMPAGNE 1001,0,,,,2,VALTER,2023-03-20,
46,4200491601,Porta de Aluminio,REFELECTA PRATA C/ PERFIL FINO E PUX GOLA ALUM,0,,2023-03-02,2023-03-17,1,VALTER,2023-03-20,
47,4220698302,Porta de Aluminio,PORTA BASCULANTE REFLECTA BRONZE PERFIL FINO E PUX. ABA 100MM PRATA,0,,2023-03-06,2023-03-21,2,VALTER,2023-03-20,
48,4210198006,Acessorios Avulsos,FERRAGEM P/ PASTA SUSPENSA,0,,,,2,FGVTN,2023-03-02,
49,4210195304,Acessorios Avulsos,FECHADURA BICO DE PAPAGAIO PRETO,3,950.0,2023-03-07,2023-03-09,1,MERCADO LIVRE,2023-03-09,
50,4210195305,Porta de Aluminio,PORTA COM VIDRO INCOLOR,0,,2023-03-13,2023-03-28,3,VALTER,2023-04-05,
51,4210195305,Acessorios Avulsos,FECHADURA FECHO ROLETE PRETO - 1025 STAM C/ CHAVE - ROSETA QUADRADA,3,950.0,2023-03-07,2023-03-09,1,MERCADO LIVRE,2023-03-09,
52,4212142101,Acessorios Avulsos,PUXADOR CONCHA COBRE ENVELHECIDO,0,,,,7,ESTOQUE,2023-03-09,
53,4212142101,Acessorios Avulsos,CAIXA TOMADA 02q,1,950.0,2023-03-09,2023-03-13,1,MERCADO LIVRE,2023-03-13,
54,4210202002,Porta de Aluminio,PORTA REFLECTA BRONZE PERFIL FINO BRONZE,0,,2023-03-02,2023-03-17,1,VALTER,2023-03-20,
55,4210195301,Acessorios Avulsos,DIVISOR TALHER 798X470,0,,2023-03-15,2023-03-16,1,MERCADO LIVRE,2023-03-16,
56,4210200102,Acessorios Avulsos,"LIXEIRA SIMPLES 8,8LTS SANREMO",4,950.0,2023-03-17,2023-03-27,1,MERCADO LIVRE,2023-03-28,
57,4210203301,Porta de Aluminio,PORTA DE CORRER - ESPELHO PRATA,0,,2023-03-20,2023-04-04,2,VALTER,2023-04-05,
58,4220702701,Serralheria,"PERFIL LISTELO ""U"" 20X9X2000 BRONZE",7,626.0,2023-03-24,2023-03-29,3,METAL ITALO,2023-03-28,
59,4210203001,Serralheria,ARCO EM METALON 20X20 - PINTURA ELETROSTATICA BRANCO,0,,2023-03-17,2023-05-03,2,METAL ITALO,2023-05-02,
60,4210203001,Acessorios Avulsos,PUXADOR TUCSON 199 DOURADO - 20MM,6,950.0,2023-03-17,2023-03-29,5,VAROTTI,2023-03-22,
61,4200488101,Porta de Aluminio,PORTA DE GIRO ESPELHO PRATA COM PERFIL FINO E PUXADOR PRATA,0,,2023-04-08,2023-04-23,2,VALTER,2023-04-20,
62,4200433001,Porta de Aluminio,PORTA C/ VIDRO REFLECTA PRATA,0,,2023-04-08,2023-04-23,2,VALTER,2023-04-19,
63,4200433002,Porta de Aluminio,345,0,,2023-04-08,2023-04-23,1,VALTER,2023-04-20,
64,4200473802,Porta de Aluminio,PORTA DESLIZANTE ESPELHO PRATA,0,,2023-04-08,2023-04-23,2,VALTER,2023-04-19,
65,4200478201,Acessorios Avulsos,LIXEIRA SIMPLES SCHIMITT CORREDIÇA C/ BLINDAGEM,0,,,,1,ESTOQUE FABRICA,2023-03-10,
66,4210202601,Porta de Aluminio,PORTA REFLECTA C/ PERFIL FINO PRATA,0,,2023-03-20,2023-04-04,1,VALTER,2023-03-27,
67,4210199605,Tapeçaria,CABECEIRA ESTOFADA EM SUEDE CINZA CLARO,0,,2023-04-03,2023-05-04,1,RD TAPECARIA,2023-05-05,
68,4210199605,Serralheria,ESTRUTURA METALON P/ CRIADO MUDO,0,,2023-03-22,2023-05-03,2,METAL ITALO,2023-04-02,
69,4210199605,Acessorios Avulsos,FECHO ROLETE STAM 1025 - PRETO - ROSETA QUADRADA E CHAVE DE 1 LADO,6,950.0,2023-03-22,2023-03-27,1,MERCADO LIVRE,2023-03-27,
70,4210199606,Acessorios Avulsos,FECHO ROLETE STAM 1025 - PRATA - ROSETA QUADRADA E CHAVE DE 1 LADO,6,950.0,2023-03-22,2023-03-27,1,MERCADO LIVRE,2023-03-27,
71,4210176603,Acessorios Avulsos,ESCORREDOR SCHMITT 4747 - 570X70X260,0,,2023-02-23,2023-03-10,1,,2023-03-10,
72,4200484201,Porta de Aluminio,"PORTA BASCULANTE COM VIDRO PRETO, PERFIL FINO ALUMNIO PRETO",0,,2023-02-13,2023-02-28,2,VALTER,2023-03-01,
73,4200484201,Vidro / Espelho,PRATELEIRA VIDRO INCOLOR 8MM - 400X120,0,,2023-02-13,2023-02-28,3,GARANTE,2023-02-28,
74,4200484102,Acessorios Avulsos,PASTA SUSPENSA TELESCOPICA QPS 1000 - 45KG - FGVTN - 422X92X414MM - COD: 5031006,0,,2023-02-13,2023-02-28,1,FGVTN,2023-02-27,
75,4200484103,Vidro / Espelho,VIDRO INCOLOR 8MM,0,,2023-02-23,2023-03-10,4,GARANTE,2023-03-07,
76,4200484103,Porta de Aluminio,VIDRO REFLECTA PERFIL FINO E PUX ABA 100MM PRETO,0,,2023-02-23,2023-03-10,2,VALTER,2023-04-05,
77,4200484104,Porta de Aluminio,"PERFIL FINO ALUMINIO, ESPELHO PRATA E PUX GOLA",0,,2023-02-23,2023-03-10,2,VALTER,2023-04-05,
78,4200484105,Porta de Aluminio,"PERFIL FINO ALUMINIO, ESPELHO PRATA E PUX GOLA",0,,2023-02-23,2023-03-10,2,VALTER,2023-04-05,
79,4200484106,Porta de Aluminio,VIDRO REFLECTA BRONZE PERFIL ALUMINIO FINO E PUX. GOLA,0,,2023-02-23,2023-03-10,2,VALTER,2023-04-05,
80,4200486701,Porta de Aluminio,PORTA REFLECTA BRONZE,0,,2023-02-13,2023-02-28,2,VALTER,2023-03-06,
81,4200486703,Porta de Aluminio,PORTA DESLIZANTE ESPELHO PRATA,0,,2023-02-13,2023-02-28,2,VALTER,2023-03-06,
82,4200486704,Porta de Aluminio,PORTA ALUMINIO E PUX. PRATA FINO,0,,2023-02-13,2023-02-28,2,VALTER,2023-03-06,
83,4200486706,Vidro / Espelho,PRAT. VIDRO INCOLOR 6MM,0,,2023-02-16,2023-03-03,1,GARANTE,2023-02-28,
84,4200486708,Acessorios Avulsos,CALCEIRO DESLIZANTE CD 135 FGVTN - COD 0072972315,0,,2023-02-13,2023-02-28,1,FGVTN,2023-02-27,
85,4200486707,Acessorios Avulsos,CALCEIRO DESLIZANTE CD 135 FGVTN - COD 0072972315,0,,2023-02-13,2023-02-28,1,FGVTN,2023-02-27,
86,4200486709,Vidro / Espelho,VIDRO 6MM - TAMPO GAVETA C/ DIVISÓRIA,0,,2023-02-16,2023-03-03,1,GARANTE,2023-02-28,
87,4200486709,Acessorios Avulsos,PUXADOR DEXTER MEDIO - COBRE FOSCO TORRALBA,6,626.0,2023-02-10,2023-02-17,5,MEU PUXADOR,2023-02-14,
88,4200486709,Vidro / Espelho,ESPELHO C/ PERFIL P/ LED - JATEADO,0,,2023-02-16,2023-03-03,1,P.S e KINHA JATEADO,2023-02-27,
89,4200486709,Vidro / Espelho,TAMPO DE VIDRO INCOLOR 8MM,0,,2023-02-16,2023-03-03,1,GARANTE,2023-02-28,
90,4200486709,Acessorios Avulsos,CALCEIRO DESLIZANTE CD 135 FGVTN - COD 0072972315,0,,2023-02-13,2023-02-28,1,FGVTN,2023-02-27,
91,4200486709,Porta de Aluminio,PORTA DESLIZANTE - VIDRO REFLECTA BRONZE,0,,2023-02-13,2023-02-28,2,VALTER,2023-03-06,
92,4200488201,Acessorios Avulsos,"TELA INOX - MALHA 6, FIO 0,71MM - FUROS 3,5MM",9,950.0,2023-02-15,2023-02-24,2,MERCADO LIVRE,2023-02-22,
93,4200486708,Acessorios Avulsos,RODIZIO DE PINO C/ BUCHA 50MM,0,,2023-02-13,2023-02-15,4,MERCADO LIVRE,2023-02-14,
94,4200486702,Porta de Aluminio,PORTA BASCULANTE REFLECTA BRONZE,0,,2023-02-16,2023-03-03,4,VALTER,2023-03-01,
95,4210199801,Acessorios Avulsos,PUXADOR SLIM CROMADO ITALY LINE IL280 - 128MM,0,,2023-02-15,2023-02-15,23,,2023-02-15,
96,4210199801,Acessorios Avulsos,TRILHO RO-82,0,,2023-02-17,2023-02-23,0,VALTER,2023-02-23,
97,4210200101,Porta de Aluminio,PORTA DE GIRO VIDRO MINI BOREAL - TEXTURA LADO INTERNO,0,,2023-02-23,2023-03-10,4,VALTER,2023-03-21,
98,4210200101,Acessorios Avulsos,DOBRADICA FORCA INVERSA,0,,2023-02-28,2023-03-01,20,LEO MADEIRAS,2023-03-02,
99,4210199606,Acessorios Avulsos,FITA LED 3000K 12W C/ FONTE - 2 METROS,12,626.0,2023-03-29,2023-04-17,1,ILUMINIM LED,2023-04-24,
100,4210199606,Tapeçaria,CABECEIRA ESTOFADA EM SUEDE VERDE CLARO,0,,2023-04-03,2023-05-04,1,RD TAPECARIA,2023-05-05,
101,4210199607,Acessorios Avulsos,MAO FRANCESA INVERTIDA 300MM,3,950.0,2023-03-22,2023-03-27,4,MERCADO LIVRE,2023-03-27,
102,4210199607,Acessorios Avulsos,PUXADOR SLIM ITALY LINE IL280 - 128MM,3,626.0,2023-03-22,2023-03-31,9,FORMATTO PUXADORES,2023-03-28,
103,4210199607,Acessorios Avulsos,FITA LED 3000K 12W C/ FONTE - 4101 METROS,12,626.0,2023-03-29,2023-04-28,1,ILUMINIM LED,2023-05-03,
104,4210199607,Serralheria,ESTRUTURA METALON P/ PRATELEIRAS,0,,2023-03-22,2023-05-03,1,METAL ITALO,2023-05-02,
105,4210199608,Acessorios Avulsos,PUXADOR SLIM ITALY LINE IL280 - 128MM,3,626.0,2023-03-22,2023-03-31,3,FORMATTO PUXADORES,2023-03-28,
106,4210199609,Acessorios Avulsos,FITA LED 3000K 12W C/ FONTE - 2110 METROS,12,626.0,2023-03-29,2023-04-28,1,ILUMINIM LED,2023-05-03,
107,4210199609,Porta de Aluminio,PORTA ESPELHO PRATA,0,,2023-03-23,2023-04-07,4,VALTER,2023-04-05,
108,4210199610,Porta de Aluminio,PORTA ESPELHO PRATA C/ PERFIL OCULTO,0,,2023-03-23,2023-04-07,2,VALTER,2023-04-05,
109,4210199610,Acessorios Avulsos,PUXADOR SLIM ITALY LINE IL280 - 128MM,3,626.0,2023-03-22,2023-03-31,3,FORMATTO PUXADORES,2023-03-28,
110,4210199611,Acessorios Avulsos,PUXADOR SLIM ITALY LINE IL280 - 128MM,3,626.0,2023-03-22,2023-03-31,3,FORMATTO PUXADORES,2023-03-28,
111,4210201803,Vidro / Espelho,ESPELHO PRATA,0,,2023-04-17,2023-05-02,2,VALTER,2023-05-02,
112,4210201804,Porta de Aluminio,ESPELHO PRATA,0,,2023-04-17,2023-05-02,2,VALTER,2023-05-22,
113,4210201805,Porta de Aluminio,PORTA ESPELHO PRATA C/ PERFIL FINO,0,,2023-04-17,2023-05-02,4,VALTER,2023-05-12,
114,4210201806,Porta de Aluminio,PORTA ESPELHO REFLECTA BRONZE C/ PERFIL FINO E PUX BRONZE,0,,2023-04-17,2023-05-02,2,VALTER,2023-05-12,
115,4210201807,Porta de Aluminio,PORTA ESPELHO FUME DESLIZANTE C/ PERFIL FINO E PUX.,0,,2023-04-13,2023-04-28,1,VALTER,2023-05-08,
116,4210201807,Acessorios Avulsos,FECHO ROLETE S/ CHAVE,0,,,,1,ESTOQUE,2023-03-23,
117,4210201807,Tapeçaria,PAINEL CABECEIRA ESTOFADO - TECIDO WILERKORO 02,0,,2023-04-24,2023-05-19,1,RD TAPECARIA,2023-05-18,
118,4210201809,Porta de Aluminio,PORTA ESPELHO PRATA,0,,2023-04-15,2023-04-30,2,VALTER,2023-05-09,
119,4210201809,Tapeçaria,PAINEL CABECEIRA ESTOFADO C/ TECIDO FACTO PEROLADO DIVIDIDO EM 2 PARTES,0,,2023-04-24,2023-05-19,1,RD TAPECARIA,2023-05-18,
120,4210201810,Vidro / Espelho,VIDRO INCOLOR PORTA PROVENCAL - 4 MM,0,,2023-04-17,2023-05-02,2,VALTER,2023-05-22,
121,4210201810,Acessorios Avulsos,PUXADOR COLONIAL CONCHA 115 ITALYLINE PRATA,0,,2023-03-22,2023-03-24,8,VALTER,2023-03-27,
122,4210201810,Acessorios Avulsos,PUXADOR PONTO IL1699 (CONFIRMADO COM MARINA),5,626.0,2023-04-14,2023-04-27,7,META PUXADORES,2023-04-20,
123,4210202801,Porta de Aluminio,PORTA ESPELHO PRATA C/ PERFIL FINO E PUX. 098,0,,2023-03-27,2023-04-11,2,VALTER,2023-04-05,
124,4200490503,Porta de Aluminio,PORTA DESLIZANTE ESPELHO PRATA 1000x545,0,,2023-05-08,2023-05-23,1,VALTER,2023-05-22,
125,4200488401,Porta de Aluminio,PORTA REFLECTA BRONZE,0,,2023-04-20,2023-05-05,1,VALTER,2023-05-03,
126,4200488403,Porta de Aluminio,PORTA ESPELHO PRATA,0,,2023-04-20,2023-05-05,1,VALTER,2023-05-03,
127,4210199606,Acessorios Avulsos,DOBRADIÇA 3D 110X24,3,626.0,2023-03-27,2023-03-31,3,METALFERCO,2023-04-18,
128,4210199605,Acessorios Avulsos,DOBRADIÇA 3D 150,0,,2023-03-27,2023-03-27,3,ESCRITORIO,2023-03-27,
129,4210199601,Acessorios Avulsos,PUXADOR JOTA ROMETAL INOX POLIDO - RM248 E RM249,0,,2023-04-11,2023-04-14,0,VALTER,2023-05-04,
130,4210199602,Acessorios Avulsos,PUXADOR SLIM IL280 ITALY LINE 128MM,12,626.0,2023-04-05,2023-04-17,10,META PUXADORES,2023-04-12,
131,4210199603,Acessorios Avulsos,FITA LED 3000K - 12W COM FONTE - 1475MTS,12,626.0,2023-03-31,2023-04-10,1,ILUMINIM LED,2023-04-11,
132,4210199603,Acessorios Avulsos,DOBRADICA INVISIVEL PRETA - 24MM LARG.,3,626.0,2023-03-31,2023-04-14,3,METALFERCO,2023-04-06,
133,4210199603,Acessorios Avulsos,FECHADURA 1025 STAM PRETA - ROSETA QUADRADA,0,,2023-03-22,2023-03-27,1,MERCADO LIVRE,2023-04-13,
134,4210199604,Acessorios Avulsos,PUXADOR SLIM IL280 128MM,0,,,,3,VALTER,2023-04-12,
135,4210199604,Acessorios Avulsos,FITA LED 3000K - 12W COM FONTE - 1800MTS,12,626.0,2023-03-31,2023-04-10,1,ILUMINIM LED,2023-04-11,
136,4210199604,Acessorios Avulsos,FITA LED 3000K - 12W COM FONTE - 1800MTS,12,626.0,2023-03-31,2023-04-10,1,ILUMINIM LED,2023-04-11,
137,4200495201,Porta de Aluminio,PORTA CORRER ESPELHO PRATA,0,,2023-04-08,2023-04-23,2,VALTER,2023-04-19,
138,4200486401,Porta de Aluminio,PORTA REFLECTA PRATA,0,,,,4,VALTER,2023-05-23,
139,4200486402,Acessorios Avulsos,FECHO ROLETE SEM CHAVE,0,,,,1,ESTOQUE,2023-03-31,
140,4200486402,Acessorios Avulsos,FECHO ROLETE COM CHAVE,0,,2023-04-27,2023-05-02,1,MERCADO LIVRE,2023-05-19,
141,4200486407,Porta de Aluminio,PORTA ESPELHO PRATA,0,,,,2,VALTER,2023-05-23,
142,4200486408,Acessorios Avulsos,ACRILICO 5MM 350X560,0,,2023-04-28,2023-05-09,4,MERCADO LIVRE,2023-05-19,
143,4200486408,Acessorios Avulsos,ACRILICO 5MM 310X560,0,,2023-04-28,2023-05-09,4,MERCADO LIVRE,2023-05-19,
144,4200486408,Acessorios Avulsos,LOUSA PRETA,0,,,,1,,2023-05-19,
145,4200486409,Porta de Aluminio,PORTA ESPELHO PRATA C/ PERFIL FINO,0,,,,2,VALTER,2023-05-23,
146,4210207101,Acessorios Avulsos,CAIXA COM 4 TOMADAS E TAMPA,5,950.0,2023-04-05,2023-04-14,10,CAIXA TOMADA,2023-04-10,
147,4200482306,Porta de Aluminio,PORTA REFLECTA BRONZE,0,,2023-04-10,2023-04-25,7,VALTER,2023-04-20,
148,4210203601,Porta de Aluminio,PORTA REFLECTA PRATA,0,,,,3,VALTER,2023-05-15,
149,4210203601,Serralheria,ESTRUTURA METALON,0,,2023-04-25,2023-05-26,1,METAL ITALO,2023-06-06,
150,4210203604,Porta de Aluminio,PORTA ESPELHO PRATA,0,,,,2,VALTER,2023-05-15,
151,4220703601,Porta de Aluminio,PORTA BASCULANTE REFLECTA BRONZE,0,,,,2,VALTER,2023-05-18,
152,4210204401,Porta de Aluminio,PORTA DE GIRO ESPELHO PRATA,0,,,,3,VALTER,2023-05-15,
153,4200490402,Porta de Aluminio,PORTA BASCULANTE PERFIL FINO C/ VIDRO REFLECTA BRONZE E PUX ABA USINADO 100MM - 627X394 MM,0,,2023-04-26,2023-05-11,2,VALTER,2023-05-22,
154,4200490301,Porta de Aluminio,PORTA CORRER ESPELHO PRATA 954x750,0,,2023-05-10,2023-05-25,2,VALTER,2023-05-23,
155,4200490302,Porta de Aluminio,PORTA CORRER ESPELHO PRATA 954x813,0,,2023-05-10,2023-05-25,2,VALTER,2023-05-23,
156,4200495101,Acessorios Avulsos,PUXADOR SLIM TITO 64MM CROMO FOSCO,0,,2023-06-02,2023-06-07,17,,2023-06-09,
157,4200466501,Porta de Aluminio,PORTA REFLECTA PRATA 649x496,0,,2023-05-18,2023-06-02,1,VALTER,2023-05-29,
158,4200479702,Porta de Aluminio,PORTA ESPELHO PRATA 642x404,0,,2023-05-23,2023-06-07,2,VALTER,2023-05-29,
159,4200495805,Porta de Aluminio,PORTA CORRER ESPELHO PRATA 718x672,0,,2023-05-23,2023-06-07,2,VALTER,2023-06-09,
160,4200495802,Acessorios Avulsos,LIXEIRA DUPLA 2072,0,,2023-04-06,2023-04-06,1,ESTOQUE,2023-04-06,
161,4210203101,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,6,META PUXADORES,2023-04-19,
162,4210203101,Tapeçaria,ALMOFADA - TECIDO LINHO - CÓD 3008-05,0,,2023-04-24,2023-05-19,2,RD TAPECARIA,2023-05-24,
163,4210203102,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,22,META PUXADORES,2023-04-19,
164,4210203102,Acessorios Avulsos,FITA LED 3000K C/ FONTE 12W - 1485MTS,12,626.0,2023-04-13,2023-05-02,1,ILUMINIM LED,2023-04-24,
165,4210203102,Acessorios Avulsos,BOTÃO BOLINHA P/ ACENDIMENTO LED,0,,,,1,ESCRITÓRIO,2023-04-13,
166,4210203103,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,5,META PUXADORES,2023-04-19,
167,4210203104,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,12,META PUXADORES,2023-04-19,
168,4210203105,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,3,META PUXADORES,2023-04-19,
169,4210203105,Acessorios Avulsos,FECHADURA BICO DE PAPAGAIO CROMADO,0,,,,1,ESCRITORIO,2023-04-12,
170,4210203106,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,2,META PUXADORES,2023-04-19,
171,4210203106,Porta de Aluminio,PORTA ESPELHO COM PERFIL ALUMINIO,0,,2023-04-15,2023-04-30,4,VALTER,2023-05-03,
172,4210203107,Vidro / Espelho,ESPELHO PRATA,0,,,,1,VALTER,2023-04-19,
173,4210203107,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,7,META PUXADORES,2023-04-19,
174,4210203107,Acessorios Avulsos,FITA LED 3000K C/ FONTE 12W - 1975MTS,12,626.0,2023-04-13,2023-05-02,1,ILUMINIM LED,2023-04-24,
175,4210203107,Acessorios Avulsos,BOTÃO P/ ACENDIMENTO LED,0,,,,1,ESCRITÓRIO,2023-04-13,
176,4210203108,Acessorios Avulsos,FECHADURA BICO DE PAPAGAIO CHAVE 2 LADOS,0,,2023-04-20,2023-04-27,1,MERCADO LIVRE,2023-04-27,
177,4210203108,Acessorios Avulsos,FECHADURA BICO DE PAPAGAIO CHAVE 1 LADO,0,,,,1,ESCRITORIO,2023-04-13,
178,4210203108,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,4,META PUXADORES,2023-04-19,
179,4210203109,Acessorios Avulsos,PUXADOR IL280 - 128MM,12,626.0,2023-04-12,2023-04-25,3,META PUXADORES,2023-04-19,
180,4210203109,Porta de Aluminio,PORTA ESPELHO PRATA,0,,2023-04-15,2023-04-30,4,VALTER,2023-04-19,
181,4200496301,Porta de Aluminio,PORTA REFLECTA BRONZE,0,,2023-04-10,2023-04-25,2,VALTER,2023-04-19,
182,4210208506,Acessorios Avulsos,FECHO ROLETE SEM CHAVE STAM,0,,,,0,ESCRITORIO,2023-04-17,
183,4200459304,Porta de Aluminio,PORTA ESPELHO PRATA 950x707,0,,2023-05-15,2023-05-30,1,VALTER,2023-05-29,
