ordemdecompra,avulso,paineis,portaaluminio,vidros,pecaspintadas,tapecaria,serralheria,cabide,trilho,volmod,avulsol,paineisl,portaaluminiol,vidrosl,pecaspintadasl,tapecarial,serralherial,cabidel,trilhol,modulosl,avulsoq,paineisq,portaaluminioq,vidrosq,pecaspintadasq,tapecariaq,serralheriaq,cabideq,trilhoq,modulosq,totalvolumes
4200551501,true,false,true,false,false,false,false,false,false,true,BOX 26,,BOX 4,,,,,,,BOX 10,3,0,2,0,0,0,0,0,0,67,72
4200551502,true,false,false,false,false,false,false,false,false,true,BOX 26,,,,,,,,,BOX 9,2,0,0,0,0,0,0,0,0,41,43
4200551701,true,true,false,false,false,false,false,false,false,true,BOX 31,MEIO,,,,,,,,MEIO,3,0,0,0,0,0,0,0,0,82,85
4200551702,false,false,false,false,false,false,false,false,false,false,BOX 12,,,,,,,,,BOX 04,1,0,0,0,0,0,0,0,0,47,48
4200551703,false,false,false,false,false,false,false,false,false,false,BOX 14,,,,,,,,,BOX 07,1,0,0,0,0,0,0,0,0,38,39
4200551704,false,false,false,false,false,false,false,false,false,false,BOX 03,,BOX 07,,,,,,,ILHA,1,0,1,0,0,0,0,0,0,7,8
4200551705,false,false,false,false,false,false,false,false,false,false,BOX 01,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,2,3
4200552001,true,false,true,false,false,false,false,true,false,true,BOX 17,,BOX 10,,,,,MEIO,,MEIO,2,0,1,0,0,0,0,1,0,45,0
4200552002,true,false,false,false,false,false,false,false,false,true,BOX 01,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,1,2
4200552003,true,false,false,false,false,false,false,true,false,true,BOX 18,,,,,,,BOOX 09,,BOX 09,1,0,0,0,0,0,0,1,0,52,54
4200552004,true,true,false,false,false,false,false,false,false,true,BOX 04,BOX 05,,,,,,,,BOX 05,1,2,0,0,0,0,0,0,0,9,12
4200552401,true,false,false,false,false,false,false,false,false,true,BOX 20,,,,,,,,,BOX 9,2,0,0,0,0,0,0,0,0,30,32
4200552501,true,false,false,false,false,false,false,false,false,true,BOX 4,,,,,,,,,BOX 11,1,0,0,0,0,0,0,0,0,20,21
4200552502,true,false,false,false,false,false,false,false,false,true,BOX 4,,,,,,,,,BOX 11,1,0,0,0,0,0,0,0,0,12,13
4200552701,true,false,false,true,false,false,false,false,false,true," BOX 2",,,BOX 4,,,,,,BOX 7,1,0,0,2,0,0,0,0,0,11,14
4200553201,true,false,false,false,false,false,false,false,false,true,BOX 6,,,,,,,,,MEIO,1,0,0,0,0,0,0,0,0,,
4200553202,true,false,false,false,false,false,false,false,false,true,BOX05,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,26,27
4200553203,true,false,true,false,false,false,false,false,false,true,BOX05,,BOX07,,,,,,,MEIO,1,0,4,0,0,0,0,0,0,20,25
4200553301,true,false,false,false,false,false,false,true,true,true,OBS  BOX 33,,,,,,,BOX 5,BOX 5,BOX 5,1,0,0,0,0,0,0,1,1,59,60
4200553401,true,false,true,false,false,false,false,true,false,true,BOX 25,,BOX 14,,,,,BOX 11,,BOX 11,1,0,1,0,0,0,0,2,0,36,40
4200553502,true,true,false,false,false,false,true,false,false,true,BOX 19,JUNTOS,,,,,juntos,,,ILHA,1,0,0,0,0,0,1,0,0,21,23
4200553503,true,false,false,false,false,false,false,false,false,true,BOX 19,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,8,9
4200553504,true,false,false,false,false,false,false,false,false,true,BOX 19,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,4,5
4200553505,true,true,false,false,false,false,false,false,false,true,BOX 19,JUNTOS,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,4,5
4200553605,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
